celebrity_name,season,placement,week1_fan_vote_pct,week2_fan_vote_pct,week3_fan_vote_pct,week4_fan_vote_pct,week5_fan_vote_pct,week6_fan_vote_pct,week7_fan_vote_pct,week8_fan_vote_pct,week9_fan_vote_pct,week10_fan_vote_pct,week11_fan_vote_pct
Amber Rose,23,9,0.08008815220657996,0.08026201186549753,0.08384615501598752,0.07692307978099266,0.07692307691538464,0.05823453941469958,0.07692308092807547,0.07692307920843074,0.07692307978015313,0.07692307920843074,0.07692307691538464
Rick Perry,23,12,0.0803120782539732,0.08121057268526251,0.03538458825390983,0.07692307978099266,0.07692307691538464,0.0769230792075912,0.07692308092807547,0.07692307920843074,0.07692307978015313,0.07692307920843074,0.07692307691538464
James Hinchcliffe,23,2,0.07969628159708035,0.07789060981042592,0.0776923085800802,0.07692307978099266,0.07692307691538464,0.0769230792075912,0.07966354917679096,0.07692307920843074,0.08692307629193204,0.08862956031468498,0.07692307691538464
Babyface,23,11,0.07997618916632393,0.0774163294085461,0.08384615501598752,0.06906865483876456,0.07692307691538464,0.0769230792075912,0.07692308092807547,0.07692307920843074,0.07692307978015313,0.07692307920843074,0.07692307691538464
Vanilla Ice,23,10,0.08003217066200412,0.07931345104022142,0.08692307823576019,0.07734453200432256,0.07692307691538464,0.0769230792075912,0.07692308092807547,0.07692307920843074,0.07692307978015313,0.07692307920843074,0.07692307691538464
Jana Kramer,23,4,0.03978189622613276,0.07789060981042592,0.08230769340792018,0.07734453200432256,0.07692307691538464,0.0769230792075912,0.08420075443461067,0.07697281682677037,0.07811250339806336,0.09033604498570337,0.07692307691538464
Terra Jole,23,5,0.08003217068831513,0.07694204898495897,0.07692308149951806,0.07692307978099266,0.07692307691538464,0.08364438706730146,0.08420075443097269,0.09189820505211468,0.08251778984317872,0.024977670968035243,0.07692307691538464
Charo,24,11,0.083333333325,0.0887601634233644,0.046031729625314766,0.08333333704998729,0.08333333767117224,0.0843196242464601,0.08333333481283262,0.083333333325,0.08333333469922813,0.083333333325,0.0
Mr. T,24,10,0.083333333325,0.09333333433089556,0.09333333294104207,0.054008160413512515,0.08333333767117224,0.0843196242464601,0.08333333481283262,0.083333333325,0.08333333469922813,0.083333333325,0.0
Heather Morris,24,8,0.083333333325,0.08333333767086906,0.08333333642849919,0.08333333704998729,0.09004386051784913,0.04640598246000468,0.08333333481283262,0.083333333325,0.08333333469922813,0.083333333325,0.0
