celebrity_name,celebrity_instagram_followers,celebrity_twitter_followers,celebrity_tiktok_followers,celebrity_youtube_subscribers,celebrity_total_followers_wikidata,partner_instagram_followers,partner_twitter_followers,partner_tiktok_followers,partner_youtube_subscribers,partner_total_followers_wikidata,celebrity_instagram_followers_log,celebrity_twitter_followers_log,celebrity_tiktok_followers_log,celebrity_youtube_subscribers_log,celebrity_total_followers_wikidata_log,partner_instagram_followers_log,partner_twitter_followers_log,partner_tiktok_followers_log,partner_youtube_subscribers_log,partner_total_followers_wikidata_log
D. L. Hughley,,761394.0,,,761394.0,,380112.0,,,380112.0,,13.542907556058434,,,13.542907556058434,,12.848223855918395,,,12.848223855918395
Andy Dick,,131313.0,,,131313.0,,148813.0,,13500.0,162313.0,,11.785346680653955,,,11.785346680653955,,11.910452482976822,,9.510519035757246,11.997288009794824
Wynonna Judd,,128062.0,,,128062.0,,,,,,,11.760277609317216,,,11.760277609317216,,,,,
Kellie Pickler,,1142007.0,,187000.0,1329007.0,,768913.0,,114000.0,882913.0,,13.948298674427496,,12.138869243416009,14.099943357240846,,13.552734408683879,,11.643962499267984,13.690983079599384
Lisa Vanderpump,,1800000.0,,,1800000.0,,64840.0,,,64840.0,,14.403297778421795,,,14.403297778421795,,11.07969339830934,,,11.07969339830934
Sean Lowe,,878358.0,,,878358.0,,213109.0,,,213109.0,,13.68581067287392,,,13.68581067287392,,12.269563743311371,,,12.269563743311371
Valerie Harper,,,,,,,,,,,,,,,,,,,,
Brant Daugherty,,337046.0,,,337046.0,,213109.0,,,213109.0,,12.727977665485408,,,12.727977665485408,,12.269563743311371,,,12.269563743311371
Elizabeth Berkley Lauren,,133189.0,,,133189.0,,299226.0,,,299226.0,,11.799531959195075,,,11.799531959195075,,12.608957761652729,,,12.608957761652729
Leah Remini,,828481.0,,,828481.0,,,,,,,13.627350389601878,,,13.627350389601878,,,,,
Corbin Bleu,,754610.0,,36100.0,790710.0,,242304.0,,,242304.0,,13.533957663665575,,10.494075844768336,13.580687819686041,,12.39795254216744,,,12.39795254216744
Amber Riley,,,,,,,768913.0,,114000.0,882913.0,,,,,,,13.552734408683879,,11.643962499267984,13.690983079599384
Keyshawn Johnson,,,,,,,148813.0,,13500.0,162313.0,,,,,,,11.910452482976822,,9.510519035757246,11.997288009794824
Bill Engvall,,,,,,,,,,,,,,,,,,,,
Christina Milian,,1443788.0,,219000.0,1662788.0,,,,,,,14.18278146587441,,12.296831574998258,14.324006870991132,,,,,
"Nicole ""Snooki"" Polizzi",,5943724.0,,,5943724.0,,85392.0,,,85392.0,,15.597846599168149,,,15.597846599168149,,11.35501940920405,,,11.35501940920405
Jack Osbourne,,,,,,,380112.0,,,380112.0,,,,,,,12.848223855918395,,,12.848223855918395
Bill Nye,,5964504.0,,,5964504.0,,6423.0,,,6423.0,,15.601336625997021,,,15.601336625997021,,8.767796255626598,,,8.767796255626598
Billy Dee Williams,,231942.0,,,231942.0,,,,,,,12.354246930806626,,,12.354246930806626,,,,,
Danica McKellar,,153759.0,,,153759.0,,299226.0,,,299226.0,,11.94314822420412,,,11.94314822420412,,12.608957761652729,,,12.608957761652729
James Maslow,,2899243.0,,540000.0,3439243.0,,213109.0,,,213109.0,,14.879960571316076,,13.199326270390594,15.050762237755318,,12.269563743311371,,,12.269563743311371
Candace Cameron Bure,,621422.0,,,621422.0,,,,,,,13.339767288452121,,,13.339767288452121,,,,,
Sean Avery,,,,,,,242304.0,,,242304.0,,,,,,,12.39795254216744,,,12.39795254216744
Diana Nyad,,38416.0,,,38416.0,,,,,,,10.55625534894273,,,10.55625534894273,,,,,
Charlie White,,92078.0,,,92078.0,,148813.0,,13500.0,162313.0,,11.43040218321516,,,11.43040218321516,,11.910452482976822,,9.510519035757246,11.997288009794824
Amy Purdy,,61953.0,,,61953.0,,768913.0,,114000.0,882913.0,,11.034147453173013,,,11.034147453173013,,13.552734408683879,,11.643962499267984,13.690983079599384
Meryl Davis,,141507.0,,,141507.0,,,,,,,11.860111531569741,,,11.860111531569741,,,,,
Drew Carey,,563264.0,,,563264.0,,380112.0,,,380112.0,,13.241505489098344,,,13.241505489098344,,12.848223855918395,,,12.848223855918395
Cody Simpson,,6719568.0,,1090000.0,7809568.0,,169660.0,,,169660.0,,15.72053457353771,,13.901689171636098,15.870860334633672,,12.04155760748558,,,12.04155760748558
NeNe Leakes,,1982865.0,,272000.0,2254865.0,,,,,,,14.500053830836432,,12.513561021741964,14.628601105649944,,,,,
Antonio Sabato Jr.,,619858.0,,,619858.0,,380112.0,,,380112.0,,13.337247311802733,,,13.337247311802733,,12.848223855918395,,,12.848223855918395
Jonathan Bennett,,,,,,,,,,,,,,,,,,,,
Lea Thompson,,219108.0,,,219108.0,,186633.0,,,186633.0,,12.297324601873644,,,12.297324601873644,,12.136904758728935,,,12.136904758728935
Janel Parrish,,,,,,,299226.0,,,299226.0,,,,,,,12.608957761652729,,,12.608957761652729
Alfonso Ribeiro,,155603.0,,,155603.0,,169660.0,,,169660.0,,11.955069597336884,,,11.955069597336884,,12.04155760748558,,,12.04155760748558
Lolo Jones,568833.0,371624.0,,,940457.0,,,,,,13.251343930649554,12.825640560300398,,,13.754122269628775,,,,,
Randy Couture,,629656.0,,,629656.0,,242304.0,,,242304.0,,13.352930505659577,,,13.352930505659577,,12.39795254216744,,,12.39795254216744
Tommy Chong,,545918.0,,,545918.0,,213109.0,,,213109.0,,13.210225892073495,,,13.210225892073495,,12.269563743311371,,,12.269563743311371
Betsey Johnson,,405507.0,,,405507.0,,,,,,,12.91289588107296,,,12.91289588107296,,,,,
